iter	RMSE
0	14.54657029
1	14.07305066
2	13.61207038
3	13.16027484
4	12.75718545
5	12.37759218
6	12.00627702
7	11.69217569
8	11.34466214
9	11.00149189
10	10.68980095
11	10.42269701
12	10.19062896
13	9.913543041
14	9.660640563
15	9.403092878
16	9.159392894
17	8.948548392
18	8.734259393
19	8.535926906
20	8.361966954
21	8.194645432
22	8.024632107
23	7.864114913
24	7.723422287
25	7.600268534
26	7.470462972
27	7.354931163
28	7.241920154
29	7.141150915
30	7.049043937
31	6.940771855
32	6.857817595
33	6.773395872
34	6.683304873
35	6.602384533
36	6.524079866
37	6.460853353
38	6.394390352
39	6.330922157
40	6.276858599
41	6.227754099
42	6.169176695
43	6.124597351
44	6.070363466
45	6.027308936
46	5.978598669
47	5.939655063
48	5.899483932
49	5.861563196
50	5.827937906
51	5.789992334
52	5.757491141
53	5.721788893
54	5.689092769
55	5.66117658
56	5.636290651
57	5.61062658
58	5.584480702
59	5.55475695
60	5.533642621
61	5.510777071
62	5.48705742
63	5.463389428
64	5.444795329
65	5.426549549
66	5.405481104
67	5.3851235
68	5.372378044
69	5.356694866
70	5.338541288
71	5.320125444
72	5.3092427
73	5.294948979
74	5.279285498
75	5.26587148
76	5.257415603
77	5.244067762
78	5.234330813
79	5.223937462
80	5.218501935
81	5.209137801
82	5.199156887
83	5.189757517
84	5.184572759
85	5.177262003
86	5.168653115
87	5.157063327
88	5.142460993
89	5.128710682
90	5.118683892
91	5.113571633
92	5.106977479
93	5.099778089
94	5.093041618
95	5.082044725
96	5.069901538
97	5.065895303
98	5.063224498
99	5.057635786
