iter	Passed	Remaining
0	1	119
1	2	113
2	3	110
3	4	110
4	5	109
5	6	107
6	8	109
7	9	108
8	10	107
9	11	104
10	12	104
11	13	101
12	15	101
13	16	99
14	17	99
15	18	97
16	19	96
17	20	95
18	22	94
19	23	93
20	24	92
21	25	91
22	26	89
23	28	88
24	29	87
25	30	86
26	31	85
27	32	84
28	33	82
29	34	81
30	35	80
31	37	79
32	38	78
33	39	77
34	40	75
35	42	74
36	43	73
37	44	72
38	45	71
39	46	70
40	47	68
41	49	67
42	50	66
43	51	65
44	52	64
45	53	63
46	54	61
47	56	60
48	57	59
49	58	58
50	59	57
51	60	56
52	62	55
53	63	53
54	64	52
55	65	51
56	66	50
57	68	49
58	69	48
59	70	47
60	71	45
61	72	44
62	74	43
63	75	42
64	76	41
65	77	39
66	78	38
67	79	37
68	80	36
69	81	35
70	83	33
71	84	32
72	85	31
73	86	30
74	87	29
75	88	28
76	89	26
77	91	25
78	92	24
79	93	23
80	94	22
81	95	20
82	96	19
83	97	18
84	98	17
85	99	16
86	100	15
87	101	13
88	102	12
89	103	11
90	104	10
91	106	9
92	107	8
93	108	6
94	110	5
95	111	4
96	112	3
97	114	2
98	115	1
99	116	0
