iter	Passed	Remaining
0	129	129686
1	132	66314
2	136	45218
3	138	34604
4	143	28486
5	146	24254
6	149	21225
7	152	18924
8	155	17103
9	157	15630
10	159	14382
11	162	13340
12	163	12441
13	165	11662
14	167	10985
15	169	10400
16	170	9876
17	172	9385
18	173	8942
19	174	8539
20	175	8179
21	176	7855
22	177	7551
23	178	7270
24	179	7014
25	181	6783
26	182	6563
27	183	6374
28	184	6187
29	185	6006
30	186	5839
31	187	5681
32	188	5534
33	190	5399
34	191	5267
35	192	5144
36	193	5026
37	194	4918
38	195	4815
39	196	4716
40	197	4628
41	199	4542
42	200	4456
43	201	4374
44	202	4295
45	203	4217
46	204	4144
47	205	4074
48	206	4009
49	207	3946
50	208	3885
51	209	3825
52	210	3766
53	211	3711
54	212	3658
55	214	3607
56	215	3558
57	216	3510
58	217	3464
59	218	3419
60	219	3374
61	220	3331
62	221	3289
63	222	3251
64	223	3211
65	224	3174
66	225	3138
67	226	3104
68	227	3073
69	228	3039
70	229	3006
71	230	2972
72	231	2940
73	232	2910
74	233	2880
75	234	2851
76	235	2823
77	236	2796
78	237	2769
79	238	2743
80	239	2717
81	240	2693
82	241	2665
83	242	2645
84	243	2622
85	244	2600
86	245	2578
87	246	2557
88	247	2536
89	249	2517
90	250	2497
91	251	2478
92	252	2460
93	253	2442
94	254	2424
95	255	2407
96	257	2392
97	258	2375
98	259	2357
99	260	2342
100	261	2325
101	262	2309
102	263	2293
103	264	2278
104	265	2262
105	266	2247
106	267	2232
107	268	2218
108	269	2203
109	270	2191
110	271	2178
111	272	2164
112	274	2151
113	275	2138
114	276	2126
115	277	2113
116	278	2099
117	279	2086
118	280	2074
119	281	2062
120	282	2049
121	283	2037
122	284	2026
123	285	2015
124	286	2005
125	287	1996
126	288	1984
127	289	1974
128	290	1964
129	292	1954
130	293	1944
131	294	1934
132	295	1923
133	296	1913
134	297	1903
135	298	1893
136	299	1883
137	300	1874
138	301	1865
139	302	1858
140	303	1848
141	304	1837
142	305	1828
143	306	1819
144	307	1810
145	308	1802
146	309	1794
147	310	1785
148	311	1777
149	312	1769
150	313	1761
151	314	1753
152	315	1745
153	316	1739
154	317	1733
155	318	1725
156	319	1717
157	320	1710
158	321	1702
159	322	1695
160	323	1686
161	324	1679
162	325	1671
163	326	1664
164	327	1657
165	328	1651
166	329	1644
167	331	1640
168	332	1635
169	333	1629
170	334	1623
171	335	1617
172	336	1610
173	337	1603
174	338	1597
175	339	1591
176	340	1584
177	341	1578
178	342	1571
179	343	1566
180	345	1561
181	346	1558
182	347	1552
183	348	1546
184	349	1540
185	350	1534
186	351	1528
187	352	1523
188	353	1517
189	354	1511
190	355	1506
191	356	1500
192	357	1495
193	358	1490
194	360	1486
195	361	1483
196	362	1478
197	363	1473
198	364	1468
199	365	1463
200	366	1458
201	367	1453
202	368	1447
203	369	1442
204	370	1437
205	371	1432
206	372	1427
207	373	1422
208	374	1419
209	376	1416
210	377	1412
211	378	1407
212	379	1402
213	380	1398
214	381	1393
215	382	1389
216	383	1384
217	384	1379
218	385	1374
219	386	1370
220	387	1366
221	388	1361
222	389	1358
223	391	1355
224	392	1351
225	393	1347
226	394	1343
227	395	1339
228	396	1334
229	397	1330
230	398	1326
231	399	1322
232	400	1317
233	401	1313
234	402	1310
235	403	1307
236	405	1305
237	406	1301
238	408	1299
239	409	1297
240	411	1294
241	412	1290
242	412	1286
243	414	1282
244	415	1279
245	416	1275
246	417	1271
247	418	1267
248	419	1264
249	420	1261
250	421	1258
251	422	1254
252	423	1250
253	424	1246
254	425	1242
255	426	1239
256	427	1235
257	428	1231
258	429	1228
259	430	1224
260	431	1221
261	432	1217
262	433	1214
263	434	1211
264	435	1208
265	436	1205
266	437	1202
267	438	1198
268	440	1195
269	441	1192
270	441	1188
271	442	1185
272	443	1182
273	444	1179
274	445	1175
275	446	1172
